,Symbol,Price,One-Year Price Return,Number of Shares to Buy
216,ISRG,344.8,0.2916155454323612,5
217,TFC,59.45,0.2887722946508996,33
218,IR,58.64,0.2880927008647964,33
219,A,156.58,0.28757225730191044,12
220,USB,57.45,0.2865720444671952,34
221,APH,84.27,0.28515618824377387,23
222,HPE,15.51,0.2846926483315832,127
223,ABT,143.64,0.2838888129571283,13
224,J,138.08,0.28158388687199437,14
225,STE,233.13,0.2810052478505405,8
226,IDXX,645.36,0.2807476868421881,3
227,APTV,159.03,0.2787791239797183,12
228,CNP,28.11,0.278219817837431,70
229,HSY,194.41,0.2774700574996299,10
230,CB,191.75,0.27690339667629515,10
231,EXPE,164.98,0.27542047010377946,12
232,GILD,74.2,0.2752075288575876,26
233,NOC,381.32,0.273806331630354,5
234,SNA,218.42,0.2730104639093761,9
235,CME,231.5,0.2638381522988056,8
236,NWS,22.2,0.26214756286146085,89
237,ARE,220.49,0.2617663379937663,8
238,APA,25.23,0.2605249185060837,78
239,FOX,34.84,0.255782806989621,56
240,HBAN,15.07,0.2555981997112594,131
241,NI,27.32,0.2547070004124755,72
242,WHR,234.47,0.25395318792963045,8
243,WBA,51.16,0.2537608648291799,38
244,CTAS,459.06,0.252344686116196,4
245,MCD,263.2,0.2507099895805293,7
246,NSC,292.69,0.2492127335819152,6
247,REGN,621.03,0.24711866348576975,3
248,NWSA,21.79,0.24676186216745533,91
249,NRG,40.67,0.2454258505030351,48
250,AWK,183.36,0.24259687455296586,10
251,NEE,94.48,0.2406150756441351,21
252,WRB,81.4,0.24055975338178892,24
253,BXP,119.5,0.24001630010034217,16
254,CE,164.28,0.23975044399084572,12
255,NLOK,25.9,0.23827332415051208,76
256,MHK,177.94,0.2361414657718622,11
257,YUM,135.64,0.231891849459571,14
258,DRI,143.21,0.23173980797187863,13
259,MTB,149.62,0.22966730739707736,13
260,WAB,91.13,0.2277163496065966,21
261,QCOM,185.3,0.22562602262042922,10
262,GWW,500.15,0.22382630027153266,3
263,SJM,142.08,0.2227755455271738,13
264,OMC,76.53,0.2222623853841355,25
265,MAS,68.35,0.2218269276856112,29
266,UNP,252.8,0.2212128329155857,7
267,EBAY,65.3,0.22038447688029486,30
268,DLTR,136.87,0.219790674440588,14
269,PEAK,36.53,0.2181968247051439,54
270,WY,41.03,0.21706671386158607,48
271,ED,86.51,0.2142208893563952,22
272,UAA,21.2,0.212380542879646,93
273,LNT,59.83,0.2108799756767296,33
274,BIO,734.59,0.2107219206978889,2
275,UPS,213.07,0.2083786279630107,9
276,FB,346.81,0.20798025365709946,5
277,ICE,136.71,0.2048058577194153,14
278,RTX,84.97,0.2043450958050148,23
279,ADI,177.11,0.2026586339905831,11
280,CSX,37.17,0.20230428936845243,53
281,ITW,238.93,0.20217049193889708,8
282,AME,144.4,0.1978821858643513,13
283,CTLT,131.15,0.19709918479212765,15
284,PHM,52.98,0.1934854602162722,37
285,O,70.6,0.1929241478284841,28
286,DUK,104.17,0.19258944148444632,19
287,CTVA,47.07,0.19152371611350896,42
288,NKE,163.55,0.1904448570301174,12
289,CMG,1724.87,0.18869241577506993,1
290,CTRA,20.15,0.1885808840456359,98
291,MO,48.29,0.1867886253655867,41
292,PEP,169.9,0.18158611922923962,11
293,UA,18.37,0.18082909100748343,108
294,EQIX,863.33,0.1785907024650608,2
295,RE,271.07,0.1782870619398459,7
296,CERN,93.96,0.1758604938923602,21
297,HBI,16.81,0.17508012544665535,118
298,CPRT,146.86,0.1743446913385264,13
299,GIS,67.87,0.17428918977126648,29
300,EMN,124.56,0.1740166898095991,15
301,HUM,459.24,0.17321788988989503,4
302,KMI,15.8,0.1729728247149297,125
303,XYL,119.5,0.1728234848747809,16
304,MAR,154.05,0.1705026513720197,12
305,IEX,239.89,0.1705004135253413,8
306,VNO,41.53,0.16953598867352185,47
307,PG,160.59,0.168930309745507,12
308,RMD,265.32,0.1688748302993063,7
309,MU,87.0,0.16887038799620127,22
310,CZR,88.56,0.1686709841611296,22
311,TRV,163.58,0.16719570672850792,12
312,ETSY,224.5,0.16684349452322997,8
313,AIZ,152.55,0.1664338879913103,13
314,DTE,121.3,0.1660404476861536,16
315,PPL,30.65,0.1650206149456341,64
316,BR,180.15,0.1648189786026932,11
317,TXN,190.9,0.16467463869351395,10
318,BSX,42.71,0.15995039278626538,46
319,PEG,65.08,0.1588460617906893,30
320,SO,68.33,0.15834435539003547,29
321,BKR,23.8,0.1573617563907245,83
322,ENPH,192.62,0.1568842222376319,10
323,WLTW,242.23,0.15409579153242764,8
324,RL,116.12,0.15338436803487035,17
325,ALGN,626.02,0.15267677677685593,3
326,PPG,170.51,0.15260412524187966,11
327,BWA,44.85,0.1509907152483851,44
328,EMR,90.76,0.1464911839863975,21
329,PM,95.81,0.14428020994461246,20
330,ALLE,132.8,0.14215158394653638,14
331,MDLZ,67.03,0.1403214699207499,29
332,FBHS,105.35,0.13824109665877413,18
333,ETR,114.61,0.1377620250971283,17
334,HAL,22.13,0.13553395697856996,89
335,LHX,215.32,0.1353412600806646,9
336,APD,310.33,0.1324992614456785,6
337,CAT,201.55,0.132086447900788,9
338,PH,313.82,0.13173261337566688,6
339,COO,405.66,0.1311785733484419,4
340,CI,228.71,0.12983757933075304,8
341,PSX,73.4,0.12956539724404206,27
342,CHD,101.91,0.1285861038095704,19
343,STZ,245.25,0.12583585042094544,8
344,CHRW,105.21,0.12546542006417596,18
345,GRMN,136.82,0.12482140931052244,14
346,ROP,488.58,0.12183018100160424,4
347,TYL,507.34,0.1214699930509925,3
348,EIX,68.5,0.1212467207755737,28
349,AEE,90.56,0.12085026918463576,21
350,JNJ,173.93,0.12070510957918115,11
351,CMS,67.09,0.11935101635999429,29
352,HST,16.24,0.1171317750802782,122
353,CRM,261.74,0.11605037655503755,7
354,HII,189.94,0.115191573499538,10
355,TJX,77.23,0.1131251154081385,25
356,VRSN,248.6,0.11284122598874545,7
357,ANSS,399.16,0.11028331990137659,4
358,PGR,105.37,0.1098821221625804,18
359,ADBE,569.78,0.10933830922300314,3
360,KO,60.53,0.10872133656165889,32
361,HWM,30.05,0.1038432059686676,66
362,TDY,418.28,0.09809020304896914,4
363,NFLX,610.54,0.09801541544807192,3
364,NWL,21.83,0.09598566534418786,90
365,AES,25.1,0.0958212365010346,79
366,INTC,52.32,0.09580097697640362,37
367,ALL,116.11,0.0952730791508055,17
368,DD,77.76,0.09378850123032165,25
369,ES,92.5,0.09347688807981092,21
370,DISH,34.64,0.0932244820418783,57
371,VRSK,224.07,0.09314124051433817,8
372,HSIC,77.31,0.09138555133430591,25
373,NOW,621.05,0.09079923822382593,3
374,WEC,100.86,0.0869722611366216,19
375,HAS,102.43,0.08513250997649073,19
376,K,65.67,0.0808074490965111,30
377,AKAM,117.54,0.08035141084929466,16
378,ABMD,316.04,0.0792159254134078,6
379,AEP,90.51,0.07908499812260769,21
380,SBUX,113.86,0.07095027122050553,17
381,KMB,141.69,0.07006967144191352,14
382,WDC,58.46,0.06888168971771767,33
383,DG,231.6,0.066463060488891,8
384,KHC,36.55,0.06573239814297661,54
385,IBM,128.4,0.06516063963216882,15
386,AMZN,3427.94,0.06280682481705446,0
387,ATO,99.36,0.06199917843449082,19
388,CTSH,86.66,0.06062216274910693,22
389,GE,94.86,0.06036553270540977,20
390,STX,109.3,0.05989455265053055,18
391,SYK,252.59,0.05823238381642981,7
392,ILMN,388.82,0.05374524346147436,5
393,BKNG,2287.85,0.0530270175071173,0
394,D,77.17,0.0526810194696503,25
395,BAX,86.14,0.0496327126791591,23
396,FTV,73.82,0.048147142710169434,26
397,CDAY,103.9,0.045150877048354535,19
398,AMCR,12.32,0.04275967057860571,161
399,XEL,68.0,0.04245363819248599,29
400,HOLX,81.08,0.04110119035212229,24
401,ECL,232.03,0.04088124804953205,8
402,C,59.64,0.04008030667396936,33
403,GLW,38.19,0.03757198348360647,51
404,SWKS,159.2,0.03634670470392757,12
405,BDX,264.5,0.03335618989718674,7
406,MA,353.96,0.031299231218075534,5
407,SWK,185.0,0.02860390840296155,10
408,NLSN,21.26,0.02848598617825268,93
409,MKC,95.24,0.0284490257192918,20
410,JKHY,172.38,0.02826325731955468,11
411,HRL,49.09,0.027884048113062544,40
412,AAL,17.26,0.027251349252224673,114
413,PVH,100.99,0.026902620996474506,19
414,XRAY,54.5,0.02305509097405914,36
415,MMM,177.06,0.022633946790893256,11
416,SYY,73.94,0.022246857271680694,26
417,PTC,123.57,0.020048841802934855,16
418,MNST,95.0,0.016772841869219693,20
419,NEM,60.69,0.016302599221660195,32
420,DOW,55.6,0.015878438414649608,35
421,BLL,97.18,0.014716248534016653,20
422,V,215.62,0.009125191901054498,9
423,VTR,50.8,0.00715976032062266,39
424,BBY,103.36,0.00655201497532533,19
425,BMY,64.13,0.00627987690564411,30
426,AMGN,225.6,0.003966970184538388,8
427,WRK,44.42,0.002944378626577053,44
428,IP,45.84,0.0026508583588128,43
429,PCAR,83.9,0.002431174812229106,23
