,Symbol,Price,Number of Shares to Buy,One-Year Price Return,One-Year Return Percentile,Six-Month Price Return,Six-Month Return Percentile,Three-Month Price Return,Three-Month Return Percentile,One-Month Price Return,One-Month Return Percentile,HQM Score
10,ACN,402.58,48,0.5287082059740762,0.8511904761904762,0.4274878527289502,0.9742063492063493,0.18671021055600215,0.9226190476190476,0.07059956749331642,0.9007936507936507,0.9122023809523809
11,F,20.44,959,1.248677463265698,0.9880952380952381,0.3820498893600335,0.9662698412698413,0.4746925105394302,0.994047619047619,0.011253603931434314,0.6646825396825397,0.9032738095238095
12,NUE,123.0,159,1.2839387481660562,0.9900793650793651,0.2882280006305783,0.9126984126984127,0.13373953146081613,0.8333333333333333,0.0566175374322369,0.875,0.9027777777777778
13,MLM,455.24,43,0.5951582155276973,0.8988095238095238,0.3085024598328047,0.9246031746031745,0.27792214758539896,0.9722222222222223,0.03987863815182662,0.8055555555555556,0.9002976190476191
14,PSA,362.1,54,0.6374107594240104,0.9265873015873016,0.2330099556925971,0.8253968253968255,0.17789027836575144,0.9067460317460317,0.08496006624227018,0.9404761904761905,0.8998015873015873
15,IRM,51.49,380,0.861484700604255,0.9722222222222223,0.18918959773126873,0.744047619047619,0.1618727167773283,0.873015873015873,0.09750337111009039,0.9603174603174603,0.8874007936507937
16,JNPR,33.85,579,0.54863881751852,0.8611111111111112,0.2706869385325675,0.8849206349206349,0.2233231039531359,0.9503968253968255,0.04774650031112621,0.8492063492063493,0.8864087301587302
17,COST,561.31,34,0.5215142217205716,0.8412698412698413,0.4536079133462709,0.9801587301587301,0.19646773748126894,0.9325396825396826,0.0354009159671828,0.7857142857142857,0.8849206349206349
18,UNH,505.78,38,0.4652130947509125,0.7936507936507937,0.267955266288621,0.882936507936508,0.17093179482908086,0.8908730158730158,0.08765826729987307,0.9484126984126984,0.878968253968254
19,DGX,174.4,112,0.4437666028720802,0.7698412698412699,0.3540151994649312,0.9503968253968255,0.1140948431985209,0.7876984126984127,0.16005694165033088,0.992063492063492,0.875
20,AAPL,174.59,112,0.3619540225070202,0.6785714285714286,0.319418136822908,0.9305555555555556,0.1785927768784717,0.9087301587301587,0.08786014299964613,0.9503968253968255,0.8670634920634921
21,CVS,103.95,188,0.4970956322205213,0.8253968253968255,0.24010884711564,0.8392857142857143,0.1835052021243233,0.9146825396825397,0.055028805062565,0.873015873015873,0.8630952380952381
22,ZTS,234.55,83,0.4393790134098675,0.7658730158730158,0.277686504836311,0.8988095238095238,0.1861053352400992,0.9206349206349206,0.03937205203545157,0.7976190476190476,0.845734126984127
23,ORLY,681.92,28,0.5061131942186701,0.8313492063492063,0.2589501874437588,0.875,0.12966965166972536,0.8214285714285714,0.04819319679904804,0.8551587301587301,0.845734126984127
24,LLY,280.01,70,0.6004845610464798,0.9027777777777777,0.23808312734980863,0.8333333333333333,0.17105442850020328,0.8928571428571429,0.02347963027432792,0.742063492063492,0.8427579365079365
25,ANTM,463.2,42,0.46121520003800426,0.7916666666666667,0.22178753828235154,0.8015873015873016,0.17909899228749354,0.9107142857142857,0.049190568007215364,0.8571428571428571,0.8402777777777778
26,LOW,256.78,76,0.5475065792052249,0.8591269841269842,0.3379929078871809,0.9424603174603174,0.1934604490976719,0.9305555555555556,0.0028869976410835253,0.626984126984127,0.839781746031746
27,VMC,207.35,94,0.4384945978193247,0.7599206349206349,0.24036359391855822,0.8412698412698413,0.2134998349885895,0.9404761904761905,0.03217096957068606,0.7738095238095238,0.8288690476190477
28,SHW,342.85,57,0.4219177667287918,0.751984126984127,0.28597308296872337,0.9107142857142857,0.1669877762264658,0.8849206349206349,0.029750027473134,0.7658730158730158,0.8283730158730158
29,BRO,67.27,291,0.4577283496065238,0.7876984126984127,0.276244139763681,0.8948412698412699,0.1615929329166995,0.871031746031746,0.0274212847532416,0.755952380952381,0.8273809523809524
30,CNC,86.67,226,0.3638330383686301,0.6805555555555556,0.1588685564794437,0.6785714285714286,0.29336664754217934,0.9781746031746031,0.10498956062196399,0.9662698412698413,0.8258928571428572
